cycle,step,t_over_T,time,activation,activation_rate,axial_shortening,maximum_discrete_interface_traction,p95_discrete_interface_traction,total_stored_energy,ecm_equilibrium_energy,ecm_viscoelastic_energy,ecm_internal_z_norm,ecm_dissipation_step,cumulative_ecm_dissipation,coupling_iterations,coupling_residual,solve_seconds,normalized_kkt_residual,volume_constraint_residual,minimum_ecm_jacobian,maximum_ecm_jacobian,minimum_gap,minimum_myocyte_face_area_ratio,minimum_endocardial_face_area_ratio,internal_symmetry_residual,internal_trace_residual,passed
1,0,0.0,0.0,0.0,0.0,2.2132493793458607e-05,0.002399965358747093,0.002208878534332548,-0.01861837301588102,1.4461337219682472e-06,5.261360116095229e-06,0.4801641937603958,0.0,0.0,0,0.0,0.0,1.2943602856987457e-06,2.220446049250313e-16,0.999020686598495,1.0010311434257395,0.03912185630822064,0.999945284512138,0.9994326260993077,0.0,6.938893903907228e-18,True
1,1,0.015625,0.015625,0.00048152733278030715,0.061585985597045485,0.00038554366584053756,0.002138619850800237,0.001967817380578089,-0.018618249211364558,1.4769761687103542e-06,5.141544523101075e-06,0.477395719527119,8.096713301554915e-08,8.096713301554915e-08,2,1.1480481490093005e-05,47.58725498593412,1.4189041468350877e-08,4.440892098500626e-16,0.9989943508982138,1.0010447328670933,0.03910661150790486,0.9996559176594677,0.9994310610355239,0.0,3.469446951953614e-18,True
1,2,0.03125,0.03125,0.001921471959676957,0.12257886448646711,0.001450905506841016,0.0013826329870980387,0.0012766811345146015,-0.01861436038644149,1.6002943345578698e-06,4.917541390272919e-06,0.4746882139588683,7.743961489913292e-08,1.5840674791468209e-07,2,1.1293852908377195e-05,47.433767589973286,1.3925092044019841e-08,2.220446049250313e-16,0.9989068358873816,1.0010997275057445,0.03905746701289631,0.9986526123092556,0.9994238074155087,0.0,3.469446951953614e-18,True
1,3,0.046875,0.046875,0.004305966426779118,0.1823912419024606,0.003209270893218874,0.0005166293371601555,0.00040609631067813827,-0.018596767581703394,1.8294938700323548e-06,4.597198307298352e-06,0.47207036945597275,7.239497103904882e-08,2.308017189537309e-07,2,1.0982271624568462e-05,59.60167879005894,1.3516627280428207e-08,1.1102230246251565e-16,0.9987583076597196,1.0012167678532946,0.038973075070061584,0.9969955044000177,0.999409826556423,0.0,3.469446951953614e-18,True
1,4,0.0625,0.0625,0.007612046748871327,0.2404470919537385,0.005635018818058168,0.0019067943246271878,0.0016034882207473275,-0.018549295833849372,2.1831482649540662e-06,4.195562649639732e-06,0.46956949910173823,6.607016191382912e-08,2.9687188086756e-07,2,1.0554157054633119e-05,51.17115882411599,1.2729777082098656e-08,4.440892098500626e-16,0.9985519824349107,1.0013791165863954,0.038855389596607184,0.994706873843496,0.9993900537643583,0.0,3.469446951953614e-18,True
1,5,0.078125,0.078125,0.011807873565164495,0.29618730506775104,0.008692850347451264,0.0041058702800345695,0.003593159847363776,-0.018450111918543958,2.6855296684337537e-06,3.7311735325191754e-06,0.4672111313854891,5.875713462252877e-08,3.556290154900888e-07,2,1.0003765339444874e-05,47.06286726612598,1.2104995725587626e-08,0.0,0.9982907493534983,1.0015828566016247,0.03870695858557968,0.9918174247340393,0.9993628118650222,0.0,3.469446951953614e-18,True
1,6,0.09375,0.09375,0.016853038769745476,0.3490750725215103,0.012338333238456789,0.006856849261279397,0.006057359169956861,-0.018272523428352908,3.370457918553194e-06,3.2214430648030776e-06,0.4650198159703222,5.07300885868063e-08,4.063591040768951e-07,2,9.308089965972261e-06,46.061680684098974,1.118977027567191e-08,0.0,0.997975853773145,1.0018277308724464,0.03828871373390734,0.9883657260194502,0.9993300922758631,0.0,3.469446951953614e-18,True
1,7,0.109375,0.109375,0.022698954663726303,0.39860105620304215,0.016519061925932554,0.010056006906322789,0.008945633997181375,-0.017985989005731014,4.274065485487194e-06,2.6872277781037777e-06,0.4630184591717284,4.231746471808768e-08,4.486765687949828e-07,2,8.527912576590494e-06,47.82339707901701,1.0046800807344907e-08,1.1102230246251565e-16,0.9976106132425249,1.0021061894434964,0.03748437401601481,0.9843973126236172,0.9992937829855905,0.0,3.469446951953614e-18,True
1,8,0.125,0.125,0.029289321881345243,0.44428829381583657,0.02117465584849121,0.013653225148949734,0.01217214134492937,-0.017557333246048232,5.426772289193957e-06,2.153363551172497e-06,0.46122695314963863,3.3910369208173116e-08,4.825869380031559e-07,2,7.660807954854816e-06,60.775580005021766,9.06547290085899e-09,3.3306690738754696e-16,0.9972009430730027,1.0024186299752564,0.03657003311533102,0.9799648371173226,0.9992444594494051,0.0,3.469446951953614e-18,True
1,9,0.140625,0.140625,0.036560671583635455,0.485696792286498,0.02623899746010805,0.01760532997623451,0.01569533125221552,-0.016952138463104085,6.858787796926856e-06,1.6422487214489115e-06,0.4596625252249835,2.5861522753860997e-08,5.08448460757017e-07,2,6.710787532905432e-06,61.58027082798071,7.8383877828303e-09,0.0,0.9967521159114463,1.0027610726692535,0.035559730239076374,0.9751259469551836,0.9991503710093658,0.0,3.469446951953614e-18,True
1,10,0.15625,0.15625,0.044442976698039774,0.5224277651385659,0.03164114448389288,0.021861312547133183,0.019471843002826835,-0.016136287178540182,8.59578875487163e-06,1.1745196252557092e-06,0.4583396406587569,1.849589871295975e-08,5.269443594699767e-07,4,5.188828841015194e-07,93.42023696890101,5.588933421804338e-10,0.0,0.9962696338774645,1.0031292565115506,0.034464396300314094,0.969942581353229,0.99903395726423,0.0,3.469446951953614e-18,True
1,11,0.171875,0.171875,0.05286032631740022,0.5541274730242828,0.037306757809623226,0.026366298965790225,0.023456287477016634,-0.015077620039683019,1.0656603852163916e-05,7.683321959848609e-07,0.4572699038168818,1.2099409979418553e-08,5.390437694493952e-07,2,4.6140381968533944e-06,47.56306124688126,5.33370523351491e-09,1.1102230246251565e-16,0.9957592820687353,1.0035187061394666,0.033296658377265136,0.9644798275668379,0.9989100848370218,0.0,3.469446951953614e-18,True
1,12,0.1875,0.1875,0.061731656763491016,0.5804906304278862,0.043159641229817525,0.03107192729166707,0.027615910612422963,-0.013747659608667136,1.305296159574495e-05,4.384607544839034e-07,0.45646216707196824,6.9047170691391805e-09,5.459484865185345e-07,2,3.858371534396577e-06,62.546432533999905,6.114835285509528e-06,3.3306690738754696e-16,0.9952279146017695,1.003924179221794,0.03205785528326105,0.9588046653100365,0.998622358470854,0.0,3.469446951953614e-18,True
1,13,0.203125,0.203125,0.07097153227455377,0.6012633457320116,0.049123353586768115,0.03591973428700511,0.03186242890589462,-0.01212335940495451,1.5779192524178473e-05,1.9690087776568179e-07,0.4559216664837182,3.1007218724454055e-09,5.490492083909799e-07,2,2.351443258360907e-06,50.96105909300968,2.728736992176099e-09,0.0,0.9946791068726236,1.0043427371366793,0.030801809575862652,0.9529848006913721,0.9986454066123357,0.0,3.469446951953614e-18,True
